Numero,Domaine,Choix (I/A)
3,Technologie & Numérique,I
4,Industrie & Ingénierie,I
5,Production & Artisanat,A
11,Éducation & Formation,A
14,Services aux Entreprises,A
15,Sport & Loisirs,A
17,Environnement,I
18,Énergie & Transition,I
19,Agriculture & Alimentation durable,I
20,Inclusion & Égalité,A
24,Science & Développement durable,I
25,IA & Data éthique,I
26,Économie circulaire,I
29,Maker culture & DIY,I
31,Freelancing & indépendants,I
32,Robotique & automatisation,I
33,Slow life & modes de vie alternatifs,A
34,Médiation & intelligence collective,A
35,Économie sociale & solidaire,A
36,Reconnexion au vivant,I
37,Gamification & design d’expérience,A
