candidatId,finaliteId,niveau
C001,FIN_CONNECTER_CREER_ET_ENTRETENIR_DU_LIEN_AV,IMPORTANT
C001,FIN_ENERGISER_PROVOQUER_DES_EMOTIONS_POSITIV,IMPORTANT
C001,FIN_PRENDRE_SOIN_AGIR_DE_MANIERE_CONCRETE_ET,IMPORTANT
C001,FIN_EXPRIMER_MA_SINGULARITE_ET_MA_PERSONNALI,IMPORTANT
C001,FIN_ORGANISER_GERER_MANAGER_LE_TRAVAIL_DES_A,IMPORTANT
C001,FIN_GERER_LES_CONFLITS,IMPORTANT
C001,FIN_ETRE_INTERMEDIAIRE_ENTRE_PLUSIEURS_PERSO,IMPORTANT
C001,FIN_EXECUTER_METTRE_EN_PLACE_DES_ACTIONS_POU,IMPORTANT
C001,FIN_CREER_PRODUIRE_REALISER_DES_IDEES_OU_DES,IMPORTANT
C001,FIN_MANIPULER_APPRECIER_LA_TECHNIQUE_TRAVAIL,IMPORTANT
C001,FIN_BOUGER_ETRE_EN_MOUVEMENT_MOBILISER_SON_C,IMPORTANT
C001,FIN_ORDONNER_RANGER_GERER_TRIER_DES_OBJETS_D,IMPORTANT
C001,FIN_EMBELLIR_LES_CHOSES_DANS_UN_OBJECTIF_EST,IMPORTANT
C001,FIN_OBSERVER_LES_SITUATIONS_ET_LES_COMPORTEM,IMPORTANT
C001,FIN_ANALYSER_MANIPULER_DES_DONNEES_DES_CHIFF,IMPORTANT
C001,FIN_RECHERCHER_APPRENDRE_EN_PROFONDEUR_REALI,IMPORTANT
C001,FIN_SOLUTIONNER_RESOUDRE_DES_PROBLEMES_TROUV,IMPORTANT
C001,FIN_AMELIORER_REMETTRE_EN_QUESTION_UN_PROCES,IMPORTANT
C001,FIN_TRANSMETTRE_PARTAGER_DES_CONNAISSANCES_D,IMPORTANT
C001,FIN_DEBATTRE_PARTAGER_UN_AVIS_CONVAINCRE_INF,IMPORTANT
C002,FIN_CONNECTER_CREER_ET_ENTRETENIR_DU_LIEN_AV,ATTENTION
C002,FIN_PRENDRE_SOIN_AGIR_DE_MANIERE_CONCRETE_ET,IMPORTANT
C002,FIN_EXPRIMER_MA_SINGULARITE_ET_MA_PERSONNALI,IMPORTANT
C002,FIN_GERER_LES_CONFLITS,IMPORTANT
C002,FIN_EXECUTER_METTRE_EN_PLACE_DES_ACTIONS_POU,IMPORTANT
C002,FIN_CREER_PRODUIRE_REALISER_DES_IDEES_OU_DES,ATTENTION
C002,FIN_MANIPULER_APPRECIE_LA_TECHNIQUE_TRAVAILL,ATTENTION
C002,FIN_BOUGER_ETRE_EN_MOUVEMENT_MOBILISER_SON_C,IMPORTANT
C002,FIN_ORDONNER_RANGER_GERER_TRIER_DES_OBJETS_D,IMPORTANT
C002,FIN_EMBELLIR_LES_CHOSES_DANS_UN_OBJECTIF_EST,ATTENTION
C002,FIN_OBSERVER_LES_SITUATIONS_ET_LES_COMPORTEM,ATTENTION
C002,FIN_RECHERCHER_APPRENDRE_EN_PROFONDEUR_REALI,IMPORTANT
C002,FIN_SOLUTIONNER_RESOUDRE_DES_PROBLEMES_TROUV,IMPORTANT
C002,FIN_AMELIORER_REMETTRE_EN_QUESTION_UN_PROCES,ATTENTION
C002,FIN_TRANSMETTRE_PARTAGER_DES_CONNAISSANCES_D,IMPORTANT
C002,FIN_DEBATTRE_PARTAGER_UN_AVIS_CONVAINCRE_INF,ATTENTION
